FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Nguyễn Hoàng Ngân Giang,Female,AES,,ENTJ,"Vlogging, Study, K-pop",Phone call,Share knowledge,"Physics, Health Care, Environment, Linear Algebra, Programming",Bookstore,Midnight
Ngô Minh Hạnh,Female,DS,,ENFP,Politics,Video call,Chit Chatting,"Linear Algebra, Programming, Artificial Intelligence, Environment",Café,Overnight
Cao Thị Phương Hoa,Female,FST,,INTJ,"Makeup, Cooking, Basketball, Art",Video call,Share knowledge,"Health Care, Biology, Physics, Chemistry, Artificial Intelligence","Home, Bookstore",Midday
Đặng Thu Huyền,Female,SST,,ESFJ,Politics,In-person (face-to-face),Share knowledge,"Physics, Practical laboratory, Calculus, Electronic, Environment",Home,Overnight
Nguyễn Bảo Khánh,Male,ATE,,ENTJ,"Karate, Cooking, Badminton, Basketball",Video call,Share knowledge,"Programming, Biology",Café,Overnight
Nguyễn Tường Khoa,Male,AE,,ISFJ,"Hiphop, Art, Korean food",Text message,Share knowledge,"Health Care, Artificial Intelligence, Electronic, Biology, Programming","Online, Home, Library",Midday
Nguyễn Tuấn Kiệt,Male,ICT,,INFJ,"Board games, Ballet, Food tour, Vlogging, Skateboarding",Text message,Chit Chatting,Programming,Home,Midday
Trần Thanh Lam,Female,AE,,ESFJ,"Baseball, Skateboarding, Board games",In-person (face-to-face),Chit Chatting,"Physics, Chemistry, Biology, Programming, Calculus",Home,Overnight
Trần Tùng Lâm,Male,ATE,,ISFJ,"V-pop, Football, Basketball",Video call,Chit Chatting,"Practical laboratory, Artificial Intelligence, Biology, Linear Algebra","Online, Library",Night
Chu Khánh Linh,Female,FST,,ESFJ,"Taekwondo, Jogging",In-person (face-to-face),Study supporter,"Chemistry, Biology","Home, Library, Café",Early Morning
Đặng Khánh Linh,Female,SIC,,ESTJ,"Korean food, Rap",Phone call,Chit Chatting,"Environment, Linear Algebra",Café,Midday
Lương Khánh Linh,Female,ATE,,ESTP,"Bowling, Badminton, Basketball, Politics, Baseball",Phone call,Chit Chatting,"Health Care, Programming","Café, Home, Online",Night
Ngô Hà Linh,Female,EER,,ENFP,"Art, Gym, Anime, Ballet",In-person (face-to-face),Chit Chatting,Practical laboratory,Café,Early Morning
Nguyễn Hải Linh,Female,AES,,ENTP,Painting,Video call,Chit Chatting,"Calculus, Artificial Intelligence, Electronic, Biology","Café, Bookstore",Evening
Nguyễn Khánh Linh,Female,EER,,INFP,"Alcoholic, Hiphop",Video call,Chit Chatting,"Chemistry, Biology",Café,Evening
Nguyễn Phương Linh,Female,Pharmacy,,ISTJ,"Baseball, Swimming, Hiphop, Badminton, Korean food",In-person (face-to-face),Study supporter,Environment,"Online, Home, Café",Midday
Nguyễn Thùy Linh,Female,AMS,,ESTJ,"DIY, Movie, Yoga, Anime, Volleyball",Phone call,Chit Chatting,"Chemistry, Artificial Intelligence, Programming, Calculus, Linear Algebra",Online,Overnight
Trần Ngọc Linh,Female,EER,,ESTP,"Karate, Volleyball, Basketball, Jogging, Swimming",Phone call,Study supporter,"Electronic, Artificial Intelligence, Physics, Linear Algebra, Practical laboratory",Library,Night
Nguyễn Danh Bảo Long,Male,AE,,ESTP,"Basketball, Travel, Skateboarding, Netflix, DIY",Text message,Share knowledge,Calculus,"Bookstore, Online, Library",Early Morning
Đặng Diệu Mai,Female,AMS,,ENTP,"singing, Food tour",Video call,Study supporter,"Physics, Electronic, Chemistry",Library,Midnight
Nguyễn Ngọc Minh,Female,FST,,INFJ,"Dancing, singing, Table tennis, Badminton, Rap",Text message,Study supporter,"Chemistry, Health Care, Practical laboratory, Programming, Physics","Home, Bookstore, Café",Night
Bùi Diệu My,Female,BIT,,ENFJ,"Food tour, Anime, Board games",Phone call,Share knowledge,"Health Care, Chemistry, Linear Algebra, Calculus, Artificial Intelligence","Bookstore, Café, Online",Evening
Cấn Thành Nam,Male,FST,,ISFJ,"Investment, V-pop, Dancing, Vlogging",Text message,Chit Chatting,"Health Care, Environment, Physics, Linear Algebra, Artificial Intelligence","Library, Home, Online",Night
Nguyễn Quỳnh Nga,Female,MST,,ISFP,Anime,Video call,Chit Chatting,"Linear Algebra, Environment","Library, Online, Bookstore",Midday
Đặng Linh Ngân,Female,BIT,,ENTJ,"Taekwondo, Food tour, V-pop",Video call,Study supporter,"Physics, Health Care","Bookstore, Home, Café",Evening
Hoàng Lê Ngân Nhi,Female,CH,,ESTJ,"Volleyball, Makeup, Skiing, Baseball",Video call,Chit Chatting,Biology,"Library, Bookstore, Café",Midnight
Bùi Lan Phương,Female,SST,,ENTP,"Dancing, Taekwondo, Yoga",Phone call,Share knowledge,"Health Care, Calculus, Linear Algebra","Library, Home, Café",Midnight
Hoàng Mai Phương,Female,MAT,,ESFP,"singing, Painting, Badminton, Karate",Video call,Study supporter,"Linear Algebra, Chemistry, Artificial Intelligence",Home,Night
Lê Thị Phương,Female,AE,,INTP,"Table tennis, Gym, V-pop, Dancing",Video call,Study supporter,"Biology, Chemistry, Electronic","Online, Library",Evening
Ngô Minh Phương,Female,CH,,INFP,"Hiphop, EDM, Painting, DIY, Food tour",Text message,Share knowledge,"Health Care, Practical laboratory","Online, Home",Evening
Nguyễn Minh Phương,Female,MST,,ESTP,"Hiphop, Painting, Ballet, Movie, Karate",Video call,Study supporter,Electronic,"Library, Bookstore",Night
Phạm Anh Quân,Male,SST,,ENTP,"K-pop, Politics, Jogging",In-person (face-to-face),Chit Chatting,Health Care,"Café, Library, Bookstore",Night
Lê Như Quỳnh,Female,AES,,ENFP,"Karate, Art, Cooking, Hiphop, Alcoholic",Phone call,Chit Chatting,"Electronic, Programming, Chemistry",Home,Midnight
Bùi Phương Thảo,Female,DS,,ISTJ,"Skiing, Basketball",Phone call,Chit Chatting,"Biology, Physics, Chemistry, Health Care, Programming","Library, Online, Home",Midnight
Nguyễn Ngọc Phương Thảo,Female,AMS,,ESTP,Taekwondo,Phone call,Share knowledge,"Physics, Practical laboratory, Linear Algebra, Calculus, Artificial Intelligence","Café, Library",Night
Trần Nguyễn Phương Thủy,Female,MST,,ISTP,"Movie, Food tour, Gym",In-person (face-to-face),Study supporter,"Artificial Intelligence, Physics, Linear Algebra, Practical laboratory",Library,Midnight
Phạm Hồng Diệp Trúc,Female,SST,,ESFP,"Karate, Travel, Dancing, Basketball",In-person (face-to-face),Study supporter,"Chemistry, Physics, Linear Algebra, Health Care",Bookstore,Midday
Hoàng Như Khuê Tú,Female,Pharmacy,,ESTJ,"Coffee, Tea, Basketball, EDM, Taekwondo, Food tour",In-person (face-to-face),Share knowledge,"Chemistry, Electronic, Artificial Intelligence, Physics",Online,Evening
Bùi Ngọc An,Female,BIT,,ENTP,"Volleyball, Skiing",Video call,Share knowledge,"Programming, Health Care","Library, Café, Bookstore",Early Morning
Bùi Bảo Anh,Female,CH,,ENFJ,"Study, Basketball, Korean food, Movie, Ballet",Text message,Study supporter,"Calculus, Health Care, Electronic","Library, Home, Bookstore",Midnight
Đỗ Thị Lan Anh,Female,CS,,ESFP,"Painting, Politics, Board games, Taekwondo, Dancing",Phone call,Chit Chatting,"Environment, Practical laboratory, Linear Algebra, Artificial Intelligence, Biology","Online, Café, Bookstore",Midnight
Khúc Châu Anh,Female,ATE,,ENFJ,Karate,Video call,Study supporter,"Linear Algebra, Artificial Intelligence, Practical laboratory, Health Care",Café,Evening
Nguyễn Hoài Anh,Female,ICT,,ISTJ,"Makeup, Coffee, Tea, EDM",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Chemistry","Library, Online, Home",Overnight
Trần Phan Anh,Male,AMS,,ISFP,"Table tennis, Taekwondo, Food tour, Board games, singing",Video call,Study supporter,"Linear Algebra, Practical laboratory","Café, Home",Evening
Trần Phương Anh,Female,CH,,ISFP,Board games,Phone call,Chit Chatting,"Calculus, Environment","Café, Library, Home",Evening
Trần Thị Mai Anh,Female,MAT,,ESTJ,"Basketball, Coffee, Tea, Netflix, Art",In-person (face-to-face),Share knowledge,"Electronic, Artificial Intelligence, Chemistry","Library, Online, Home",Early Morning
Vũ Diệu Anh,Female,SIC,,ISTJ,"Travel, Rap, Politics, EDM, Korean food",Phone call,Study supporter,"Programming, Chemistry",Bookstore,Midday
Nguyễn Bình Chi,Female,AMS,,ISFP,"Politics, Rap, Skiing, Food tour",Video call,Share knowledge,"Artificial Intelligence, Physics, Linear Algebra","Café, Bookstore, Library",Evening
Hoàng Thùy Dương,Female,MAT,,ESTJ,"Taekwondo, Art, V-pop, Rap, Skiing",Video call,Share knowledge,"Chemistry, Calculus, Practical laboratory, Artificial Intelligence, Programming",Bookstore,Overnight
Lê Bạch Dương,Female,DS,,ENFJ,"Swimming, Jogging, Ballet",In-person (face-to-face),Chit Chatting,"Physics, Artificial Intelligence, Health Care, Linear Algebra","Home, Library",Early Morning
Nguyễn Thùy Dương,Female,AMS,,ESFJ,"Swimming, Movie",Text message,Study supporter,Electronic,"Library, Home, Bookstore",Midnight
Nguyễn Thị Thùy Dung,Female,MST,,ESFJ,"Netflix, Makeup, Travel, Politics",Video call,Study supporter,"Health Care, Chemistry, Practical laboratory, Environment, Electronic","Home, Café, Library",Evening
Nguyễn Anh Dũng,Male,FST,,ENFP,DIY,Phone call,Study supporter,"Chemistry, Biology, Calculus","Library, Home",Night
Phương Danh Duy,Male,AE,,ESFP,"Badminton, Yoga",Text message,Study supporter,"Physics, Calculus, Biology, Health Care",Online,Overnight
Nguyễn Thành Đạt,Male,AE,,INTP,"Ballet, Vlogging, Football",In-person (face-to-face),Share knowledge,"Calculus, Biology","Online, Library, Home",Early Morning
Nguyễn Hải Đăng,Male,FST,,ENFJ,"Baseball, Rap, singing, Skateboarding, Dancing",In-person (face-to-face),Share knowledge,"Environment, Calculus",Library,Night
Ngô Minh Đức,Male,SST,,INFJ,"Yoga, Swimming, Art, Coffee, Tea, singing",In-person (face-to-face),Chit Chatting,"Chemistry, Linear Algebra, Practical laboratory","Bookstore, Online, Library",Midnight
Nguyễn Kim Trường Giang,Female,SST,,ISTJ,"Painting, Food tour, Coffee, Tea",In-person (face-to-face),Share knowledge,"Health Care, Artificial Intelligence","Bookstore, Home, Library",Night
Đinh Ngân Hà,Female,SST,,ISFJ,"Swimming, Makeup, DIY",Phone call,Share knowledge,"Practical laboratory, Physics, Health Care, Calculus, Environment",Home,Evening
Lê Thu Hà,Female,SST,,INFP,"Travel, Painting, Anime, Badminton",Phone call,Chit Chatting,"Physics, Environment, Electronic, Health Care, Chemistry","Café, Online, Bookstore",Night
Nguyễn Lê Ngọc Hà,Female,SIC,,ESFP,"Table tennis, EDM, singing, Movie, Anime",Phone call,Share knowledge,"Health Care, Electronic, Linear Algebra",Online,Midday
Nguyễn Thu Hà,Female,Pharmacy,,ENFJ,"Study, Taekwondo, Table tennis, Hiphop",In-person (face-to-face),Share knowledge,"Linear Algebra, Calculus, Practical laboratory, Environment",Library,Overnight
Hoàng Hải,Male,EER,,ESFJ,Volleyball,Phone call,Share knowledge,"Programming, Chemistry, Electronic, Physics, Linear Algebra","Home, Bookstore",Evening
Nguyễn Đức Huy,Male,ICT,,ISTP,"Jogging, Korean food",Text message,Study supporter,Environment,"Library, Online",Midday
Nguyễn Đức Huy,Male,CS,,ISTP,"Korean food, Hiphop, V-pop, Volleyball, Gym",Video call,Share knowledge,Practical laboratory,Online,Overnight
Kiều Huyền Lê,Female,BIT,,ESTP,"Baseball, Board games, Netflix",Text message,Chit Chatting,"Calculus, Environment",Home,Midday
Bùi Đỗ Ngọc Linh,Female,CS,,ENTP,"Karate, Swimming",In-person (face-to-face),Study supporter,"Programming, Health Care, Practical laboratory, Environment, Biology","Café, Home",Evening
Ngô Thuỳ Linh,Female,DS,,ENTP,"K-pop, Baseball, Netflix",Video call,Study supporter,"Practical laboratory, Environment, Linear Algebra, Calculus","Café, Library, Bookstore",Night
Nguyễn Ngọc Linh,Female,AE,,ENTJ,"Hiphop, Travel, Politics, Study, Ballet",Text message,Study supporter,"Electronic, Health Care, Physics, Programming, Chemistry",Home,Overnight
Nguyễn Thảo Linh,Female,EER,,ENFJ,"K-pop, Gym, Basketball",Video call,Study supporter,"Artificial Intelligence, Biology, Health Care, Linear Algebra",Online,Evening
Vũ Thùy Linh,Female,SIC,,ESFP,"EDM, V-pop, Rap",Text message,Study supporter,"Artificial Intelligence, Health Care",Café,Overnight
Đỗ Huyền My,Female,SIC,,ENTJ,"Food tour, Netflix, Rap",Text message,Share knowledge,"Chemistry, Physics, Calculus, Practical laboratory, Electronic",Café,Overnight
Bùi Khánh Ngân,Female,DS,,ESTP,"Korean food, Badminton, Cooking, Hiphop, K-pop",Video call,Share knowledge,"Practical laboratory, Programming, Chemistry, Health Care",Bookstore,Overnight
Nguyễn Yến Nhi,Female,SIC,,ESTP,"EDM, Badminton, DIY, Makeup, Korean food",Text message,Chit Chatting,"Biology, Artificial Intelligence, Linear Algebra","Library, Café, Bookstore",Overnight
Nguyễn Trang Nhung,Female,Pharmacy,,ESFP,"Swimming, Jogging, Dancing",Text message,Share knowledge,"Practical laboratory, Health Care, Linear Algebra, Physics","Library, Home",Midday
Nguyễn Phương Thảo,Female,AES,,ISFP,"Netflix, Swimming",Text message,Share knowledge,"Biology, Linear Algebra, Artificial Intelligence, Chemistry, Practical laboratory","Home, Café",Midnight
Nguyễn Anh Thư,Female,AMS,,ESTJ,"EDM, Makeup, Volleyball, Anime",Text message,Share knowledge,"Linear Algebra, Calculus, Biology, Chemistry, Health Care","Bookstore, Online",Early Morning
Nguyễn Anh Thương,Female,AMS,,ENFJ,"Movie, Hiphop, Makeup",In-person (face-to-face),Chit Chatting,"Physics, Practical laboratory, Electronic, Health Care, Biology",Home,Overnight
Lê Minh Trang,Female,ICT,,ESTJ,"Board games, Coffee, Tea, Painting, Ballet",Text message,Share knowledge,"Electronic, Physics, Artificial Intelligence, Chemistry, Health Care","Library, Home, Bookstore",Midnight
Nguyễn Thùy Trang,Female,MAT,,ISTJ,"Basketball, Anime, Board games",Video call,Chit Chatting,"Linear Algebra, Electronic","Online, Home, Café",Overnight
Phó Huyền Trang,Female,AMS,,ISTP,"Badminton, Skiing, Study, Skateboarding, Investment",Phone call,Share knowledge,"Electronic, Environment","Café, Online",Night
Phạm Hoàng Thanh Vân,Female,AES,,ENTJ,"Coffee, Tea, Politics, Vlogging",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Programming","Bookstore, Online, Café",Evening
Trịnh Hà An,Female,SST,,INFJ,"V-pop, Jogging, Alcoholic, Bowling, Anime",In-person (face-to-face),Study supporter,"Chemistry, Linear Algebra, Programming, Environment, Artificial Intelligence","Bookstore, Café",Evening
Cao Danh Quỳnh Anh,Female,CH,,ESFP,Dancing,Text message,Chit Chatting,"Health Care, Calculus, Biology, Environment, Programming",Home,Night
Lê Hiền Anh,Female,SIC,,INFP,"Art, Bowling",In-person (face-to-face),Study supporter,"Biology, Environment, Calculus, Electronic, Practical laboratory","Café, Home",Midday
Nguyễn Hải Anh,Male,SIC,,INFJ,Skateboarding,Video call,Study supporter,"Physics, Chemistry, Linear Algebra",Café,Overnight
Nguyễn Minh Anh,Female,DS,,ENFJ,"Table tennis, DIY, K-pop",Text message,Study supporter,"Chemistry, Practical laboratory, Electronic, Programming","Café, Library",Midday
Nguyễn Phương Anh,Female,ATE,,ISTP,"Baseball, Art, Table tennis",In-person (face-to-face),Chit Chatting,"Biology, Calculus, Practical laboratory","Home, Bookstore, Online",Early Morning
Lê Ngọc Ánh,Female,CS,,ENTP,"Jogging, Gym, Football, Coffee, Tea, DIY",Text message,Chit Chatting,"Artificial Intelligence, Chemistry","Online, Bookstore, Library",Early Morning
Nguyễn Thuận Ánh,Female,CH,,ENTP,"Skiing, Politics, Taekwondo, singing, K-pop",Text message,Share knowledge,Physics,"Café, Library",Early Morning
Nguyễn Minh Châu,Female,EER,,ENFP,"Makeup, singing",In-person (face-to-face),Study supporter,"Physics, Calculus, Environment, Biology","Café, Bookstore",Early Morning
Phạm Linh Chi,Female,CS,,INTP,"Makeup, Netflix, Skateboarding, Vlogging",Text message,Study supporter,"Electronic, Physics","Library, Bookstore, Home",Early Morning
Trần Hoàng Lan Chi,Female,SST,,ESFJ,"EDM, Vlogging, Board games",Phone call,Study supporter,"Environment, Calculus, Electronic, Linear Algebra, Practical laboratory","Bookstore, Library, Online",Overnight
Lê Thu Giang,Female,MST,,ENFJ,"V-pop, Korean food, Movie",Text message,Study supporter,"Chemistry, Environment, Calculus, Practical laboratory","Bookstore, Home",Night
Ngô Hải Hà,Male,AES,,INFP,"Hiphop, Makeup, Skiing, Volleyball, Coffee, Tea",Phone call,Chit Chatting,"Electronic, Physics, Programming","Online, Library, Home",Evening
Nguyễn Thị Minh Hiền,Female,CH,,ENFJ,"Bowling, Ballet, Jogging, Study",Phone call,Study supporter,"Calculus, Health Care, Environment","Café, Library",Night
Nguyễn Thị Phương Hoa,Female,CS,,INFJ,Korean food,Video call,Chit Chatting,"Practical laboratory, Physics","Café, Library, Online",Early Morning
Nguyễn Huy Hoàng,Male,SIC,,ISFJ,"Art, Alcoholic, Volleyball, singing",Phone call,Chit Chatting,"Linear Algebra, Biology, Chemistry","Bookstore, Online, Library",Midnight
Nghiêm Thị Lan Hương,Female,MAT,,ISTP,"Board games, Jogging",Video call,Study supporter,"Environment, Physics, Health Care","Café, Library",Early Morning
Đỗ Bá Quang Huy,Male,AMS,,ESTJ,Ballet,Phone call,Chit Chatting,"Biology, Health Care, Electronic, Programming, Physics",Home,Evening
Nguyễn Quang Thái Huy,Male,SST,,ESTJ,Cooking,Video call,Share knowledge,"Calculus, Physics, Environment","Bookstore, Home, Online",Early Morning
Nguyễn Phan Thục Hương,Female,MST,,INFJ,"Yoga, Skiing, Jogging, Football",Phone call,Share knowledge,"Linear Algebra, Biology, Artificial Intelligence, Calculus, Chemistry","Library, Online",Midday
Lâm Đăng Khôi,Male,Pharmacy,,ISFP,Rap,Phone call,Share knowledge,"Chemistry, Practical laboratory, Electronic, Artificial Intelligence","Bookstore, Home",Midday
